delivery_id,innings_id,match_id,over_number,ball_number,phase,batter_id,non_striker_id,bowler_id,batter_name,bowler_name,bowler_type,batter_position,runs_scored,extras_runs,total_runs,is_wide,is_noball,is_bye,is_legbye,is_four,is_six,is_dot,is_wicket,wicket_type,fielder_name,batting_team,bowling_team,match_date,tournament_name,format,gender,age_group,season
18,1,1,2,5,play,9,10,34,Ganesh Kulkarni,Amit Kolhe,left-arm pace,1,0,0,0,False,False,False,False,False,False,False,True,caught,Rushikesh Sarwate,Wardha XI,Buldhana XI,2024-10-01,Ranji Trophy,FirstClass,male,senior,2024-25
19,1,1,2,6,play,33,10,34,Kunal Bhatt,Amit Kolhe,left-arm pace,2,1,0,1,False,False,False,False,False,False,False,False,,,Wardha XI,Buldhana XI,2024-10-01,Ranji Trophy,FirstClass,male,senior,2024-25
20,1,1,3,1,play,33,10,35,Kunal Bhatt,Atharva Nair,right-arm medium pace,2,1,0,1,False,False,False,False,False,False,False,False,,,Wardha XI,Buldhana XI,2024-10-01,Ranji Trophy,FirstClass,male,senior,2024-25
21,1,1,3,2,play,10,33,35,Yash Nair,Atharva Nair,right-arm medium pace,2,0,0,0,False,False,False,False,False,False,True,False,,,Wardha XI,Buldhana XI,2024-10-01,Ranji Trophy,FirstClass,male,senior,2024-25
22,1,1,3,3,play,10,33,35,Yash Nair,Atharva Nair,right-arm medium pace,2,0,0,0,False,False,False,False,False,False,True,False,,,Wardha XI,Buldhana XI,2024-10-01,Ranji Trophy,FirstClass,male,senior,2024-25
23,1,1,3,4,play,10,33,35,Yash Nair,Atharva Nair,right-arm medium pace,2,0,0,0,False,False,False,False,False,False,True,False,,,Wardha XI,Buldhana XI,2024-10-01,Ranji Trophy,FirstClass,male,senior,2024-25
24,1,1,3,5,play,10,33,35,Yash Nair,Atharva Nair,right-arm medium pace,2,0,0,0,False,False,False,False,False,False,True,False,,,Wardha XI,Buldhana XI,2024-10-01,Ranji Trophy,FirstClass,male,senior,2024-25
25,1,1,3,6,play,10,33,35,Yash Nair,Atharva Nair,right-arm medium pace,2,1,0,1,False,False,False,False,False,False,False,False,,,Wardha XI,Buldhana XI,2024-10-01,Ranji Trophy,FirstClass,male,senior,2024-25
26,1,1,4,1,play,10,33,40,Yash Nair,Rohit Kulkarni,right-arm pace,2,4,0,4,False,False,False,False,True,False,False,False,,,Wardha XI,Buldhana XI,2024-10-01,Ranji Trophy,FirstClass,male,senior,2024-25
27,1,1,4,2,play,10,33,40,Yash Nair,Rohit Kulkarni,right-arm pace,2,4,0,4,False,False,False,False,True,False,False,False,,,Wardha XI,Buldhana XI,2024-10-01,Ranji Trophy,FirstClass,male,senior,2024-25
28,1,1,4,3,play,10,33,40,Yash Nair,Rohit Kulkarni,right-arm pace,2,0,0,0,False,False,False,False,False,False,True,False,,,Wardha XI,Buldhana XI,2024-10-01,Ranji Trophy,FirstClass,male,senior,2024-25
29,1,1,4,4,play,10,33,40,Yash Nair,Rohit Kulkarni,right-arm pace,2,4,0,4,False,False,False,False,True,False,False,False,,,Wardha XI,Buldhana XI,2024-10-01,Ranji Trophy,FirstClass,male,senior,2024-25
30,1,1,4,5,play,10,33,40,Yash Nair,Rohit Kulkarni,right-arm pace,2,0,1,1,False,True,False,False,False,False,False,False,,,Wardha XI,Buldhana XI,2024-10-01,Ranji Trophy,FirstClass,male,senior,2024-25
31,1,1,4,6,play,10,33,40,Yash Nair,Rohit Kulkarni,right-arm pace,2,0,0,0,False,False,False,False,False,False,True,False,,,Wardha XI,Buldhana XI,2024-10-01,Ranji Trophy,FirstClass,male,senior,2024-25
32,1,1,4,7,play,10,33,40,Yash Nair,Rohit Kulkarni,right-arm pace,2,1,0,1,False,False,False,False,False,False,False,False,,,Wardha XI,Buldhana XI,2024-10-01,Ranji Trophy,FirstClass,male,senior,2024-25
33,1,1,5,1,play,10,33,32,Yash Nair,Aniket Sharma,right-arm pace,2,0,0,0,False,False,False,False,False,False,True,False,,,Wardha XI,Buldhana XI,2024-10-01,Ranji Trophy,FirstClass,male,senior,2024-25
34,1,1,5,2,play,10,33,32,Yash Nair,Aniket Sharma,right-arm pace,2,6,0,6,False,False,False,False,False,True,False,False,,,Wardha XI,Buldhana XI,2024-10-01,Ranji Trophy,FirstClass,male,senior,2024-25
35,1,1,5,3,play,10,33,32,Yash Nair,Aniket Sharma,right-arm pace,2,0,0,0,False,False,False,False,False,False,True,False,,,Wardha XI,Buldhana XI,2024-10-01,Ranji Trophy,FirstClass,male,senior,2024-25
36,1,1,5,4,play,10,33,32,Yash Nair,Aniket Sharma,right-arm pace,2,1,0,1,False,False,False,False,False,False,False,False,,,Wardha XI,Buldhana XI,2024-10-01,Ranji Trophy,FirstClass,male,senior,2024-25
37,1,1,5,5,play,33,10,32,Kunal Bhatt,Aniket Sharma,right-arm pace,2,6,0,6,False,False,False,False,False,True,False,False,,,Wardha XI,Buldhana XI,2024-10-01,Ranji Trophy,FirstClass,male,senior,2024-25
38,1,1,5,6,play,33,10,32,Kunal Bhatt,Aniket Sharma,right-arm pace,2,1,0,1,False,False,False,False,False,False,False,False,,,Wardha XI,Buldhana XI,2024-10-01,Ranji Trophy,FirstClass,male,senior,2024-25
39,1,1,6,1,play,33,10,1,Kunal Bhatt,Rushikesh Sarwate,left-arm pace,2,0,0,0,False,False,False,False,False,False,True,False,,,Wardha XI,Buldhana XI,2024-10-01,Ranji Trophy,FirstClass,male,senior,2024-25
40,1,1,6,2,play,33,10,1,Kunal Bhatt,Rushikesh Sarwate,left-arm pace,2,1,0,1,False,False,False,False,False,False,False,False,,,Wardha XI,Buldhana XI,2024-10-01,Ranji Trophy,FirstClass,male,senior,2024-25
41,1,1,6,3,play,10,33,1,Yash Nair,Rushikesh Sarwate,left-arm pace,2,1,0,1,False,False,False,False,False,False,False,False,,,Wardha XI,Buldhana XI,2024-10-01,Ranji Trophy,FirstClass,male,senior,2024-25
42,1,1,6,4,play,33,10,1,Kunal Bhatt,Rushikesh Sarwate,left-arm pace,2,2,0,2,False,False,False,False,False,False,False,False,,,Wardha XI,Buldhana XI,2024-10-01,Ranji Trophy,FirstClass,male,senior,2024-25
43,1,1,6,5,play,33,10,1,Kunal Bhatt,Rushikesh Sarwate,left-arm pace,2,1,0,1,False,False,False,False,False,False,False,False,,,Wardha XI,Buldhana XI,2024-10-01,Ranji Trophy,FirstClass,male,senior,2024-25
44,1,1,6,6,play,10,33,1,Yash Nair,Rushikesh Sarwate,left-arm pace,2,1,0,1,False,False,False,False,False,False,False,False,,,Wardha XI,Buldhana XI,2024-10-01,Ranji Trophy,FirstClass,male,senior,2024-25
45,1,1,7,1,play,10,33,40,Yash Nair,Rohit Kulkarni,right-arm pace,2,2,0,2,False,False,False,False,False,False,False,False,,,Wardha XI,Buldhana XI,2024-10-01,Ranji Trophy,FirstClass,male,senior,2024-25
46,1,1,7,2,play,10,33,40,Yash Nair,Rohit Kulkarni,right-arm pace,2,2,0,2,False,False,False,False,False,False,False,False,,,Wardha XI,Buldhana XI,2024-10-01,Ranji Trophy,FirstClass,male,senior,2024-25
47,1,1,7,3,play,10,33,40,Yash Nair,Rohit Kulkarni,right-arm pace,2,0,0,0,False,False,False,False,False,False,True,False,,,Wardha XI,Buldhana XI,2024-10-01,Ranji Trophy,FirstClass,male,senior,2024-25
48,1,1,7,4,play,10,33,40,Yash Nair,Rohit Kulkarni,right-arm pace,2,2,0,2,False,False,False,False,False,False,False,False,,,Wardha XI,Buldhana XI,2024-10-01,Ranji Trophy,FirstClass,male,senior,2024-25
49,1,1,7,5,play,10,33,40,Yash Nair,Rohit Kulkarni,right-arm pace,2,0,0,0,False,False,False,False,False,False,True,False,,,Wardha XI,Buldhana XI,2024-10-01,Ranji Trophy,FirstClass,male,senior,2024-25
50,1,1,7,6,play,10,33,40,Yash Nair,Rohit Kulkarni,right-arm pace,2,4,0,4,False,False,False,False,True,False,False,False,,,Wardha XI,Buldhana XI,2024-10-01,Ranji Trophy,FirstClass,male,senior,2024-25
51,1,1,8,1,play,33,10,34,Kunal Bhatt,Amit Kolhe,left-arm pace,2,0,0,0,False,False,False,False,False,False,True,False,,,Wardha XI,Buldhana XI,2024-10-01,Ranji Trophy,FirstClass,male,senior,2024-25
52,1,1,8,2,play,33,10,34,Kunal Bhatt,Amit Kolhe,left-arm pace,2,0,0,0,False,False,False,False,False,False,True,False,,,Wardha XI,Buldhana XI,2024-10-01,Ranji Trophy,FirstClass,male,senior,2024-25
53,1,1,8,3,play,33,10,34,Kunal Bhatt,Amit Kolhe,left-arm pace,2,0,0,0,False,False,False,False,False,False,True,False,,,Wardha XI,Buldhana XI,2024-10-01,Ranji Trophy,FirstClass,male,senior,2024-25
54,1,1,8,4,play,33,10,34,Kunal Bhatt,Amit Kolhe,left-arm pace,2,4,0,4,False,False,False,False,True,False,False,False,,,Wardha XI,Buldhana XI,2024-10-01,Ranji Trophy,FirstClass,male,senior,2024-25
55,1,1,8,5,play,33,10,34,Kunal Bhatt,Amit Kolhe,left-arm pace,2,2,0,2,False,False,False,False,False,False,False,False,,,Wardha XI,Buldhana XI,2024-10-01,Ranji Trophy,FirstClass,male,senior,2024-25
56,1,1,8,6,play,33,10,34,Kunal Bhatt,Amit Kolhe,left-arm pace,2,0,0,0,False,False,False,False,False,False,True,False,,,Wardha XI,Buldhana XI,2024-10-01,Ranji Trophy,FirstClass,male,senior,2024-25
57,1,1,9,1,play,10,33,35,Yash Nair,Atharva Nair,right-arm medium pace,2,0,0,0,False,False,False,False,False,False,True,False,,,Wardha XI,Buldhana XI,2024-10-01,Ranji Trophy,FirstClass,male,senior,2024-25
58,1,1,9,2,play,10,33,35,Yash Nair,Atharva Nair,right-arm medium pace,2,4,0,4,False,False,False,False,True,False,False,False,,,Wardha XI,Buldhana XI,2024-10-01,Ranji Trophy,FirstClass,male,senior,2024-25
59,1,1,9,3,play,10,33,35,Yash Nair,Atharva Nair,right-arm medium pace,2,1,0,1,False,False,False,False,False,False,False,False,,,Wardha XI,Buldhana XI,2024-10-01,Ranji Trophy,FirstClass,male,senior,2024-25
60,1,1,9,4,play,33,10,35,Kunal Bhatt,Atharva Nair,right-arm medium pace,2,4,0,4,False,False,False,False,True,False,False,False,,,Wardha XI,Buldhana XI,2024-10-01,Ranji Trophy,FirstClass,male,senior,2024-25
61,1,1,9,5,play,33,10,35,Kunal Bhatt,Atharva Nair,right-arm medium pace,2,0,0,0,False,False,False,False,False,False,True,False,,,Wardha XI,Buldhana XI,2024-10-01,Ranji Trophy,FirstClass,male,senior,2024-25
62,1,1,9,6,play,33,10,35,Kunal Bhatt,Atharva Nair,right-arm medium pace,2,6,0,6,False,False,False,False,False,True,False,False,,,Wardha XI,Buldhana XI,2024-10-01,Ranji Trophy,FirstClass,male,senior,2024-25
63,1,1,10,1,play,10,33,34,Yash Nair,Amit Kolhe,left-arm pace,2,0,1,1,True,False,False,False,False,False,False,False,,,Wardha XI,Buldhana XI,2024-10-01,Ranji Trophy,FirstClass,male,senior,2024-25
64,1,1,10,2,play,10,33,34,Yash Nair,Amit Kolhe,left-arm pace,2,1,0,1,False,False,False,False,False,False,False,False,,,Wardha XI,Buldhana XI,2024-10-01,Ranji Trophy,FirstClass,male,senior,2024-25
65,1,1,10,3,play,33,10,34,Kunal Bhatt,Amit Kolhe,left-arm pace,2,0,0,0,False,False,False,False,False,False,True,False,,,Wardha XI,Buldhana XI,2024-10-01,Ranji Trophy,FirstClass,male,senior,2024-25
66,1,1,10,4,play,33,10,34,Kunal Bhatt,Amit Kolhe,left-arm pace,2,0,0,0,False,False,False,False,False,False,True,False,,,Wardha XI,Buldhana XI,2024-10-01,Ranji Trophy,FirstClass,male,senior,2024-25
67,1,1,10,5,play,33,10,34,Kunal Bhatt,Amit Kolhe,left-arm pace,2,0,0,0,False,False,False,False,False,False,True,False,,,Wardha XI,Buldhana XI,2024-10-01,Ranji Trophy,FirstClass,male,senior,2024-25
68,1,1,10,6,play,33,10,34,Kunal Bhatt,Amit Kolhe,left-arm pace,2,0,0,0,False,False,False,False,False,False,True,False,,,Wardha XI,Buldhana XI,2024-10-01,Ranji Trophy,FirstClass,male,senior,2024-25
69,1,1,10,7,play,33,10,34,Kunal Bhatt,Amit Kolhe,left-arm pace,2,0,0,0,False,False,False,False,False,False,True,False,,,Wardha XI,Buldhana XI,2024-10-01,Ranji Trophy,FirstClass,male,senior,2024-25
70,1,1,11,1,play,10,33,34,Yash Nair,Amit Kolhe,left-arm pace,2,1,0,1,False,False,False,False,False,False,False,False,,,Wardha XI,Buldhana XI,2024-10-01,Ranji Trophy,FirstClass,male,senior,2024-25
71,1,1,11,2,play,33,10,34,Kunal Bhatt,Amit Kolhe,left-arm pace,2,2,0,2,False,False,False,False,False,False,False,False,,,Wardha XI,Buldhana XI,2024-10-01,Ranji Trophy,FirstClass,male,senior,2024-25
72,1,1,11,3,play,33,10,34,Kunal Bhatt,Amit Kolhe,left-arm pace,2,4,0,4,False,False,False,False,True,False,False,False,,,Wardha XI,Buldhana XI,2024-10-01,Ranji Trophy,FirstClass,male,senior,2024-25
73,1,1,11,4,play,33,10,34,Kunal Bhatt,Amit Kolhe,left-arm pace,2,1,0,1,False,False,False,False,False,False,False,False,,,Wardha XI,Buldhana XI,2024-10-01,Ranji Trophy,FirstClass,male,senior,2024-25
74,1,1,11,5,play,10,33,34,Yash Nair,Amit Kolhe,left-arm pace,2,6,0,6,False,False,False,False,False,True,False,False,,,Wardha XI,Buldhana XI,2024-10-01,Ranji Trophy,FirstClass,male,senior,2024-25
75,1,1,11,6,play,10,33,34,Yash Nair,Amit Kolhe,left-arm pace,2,4,0,4,False,False,False,False,True,False,False,False,,,Wardha XI,Buldhana XI,2024-10-01,Ranji Trophy,FirstClass,male,senior,2024-25
76,1,1,12,1,play,33,10,40,Kunal Bhatt,Rohit Kulkarni,right-arm pace,2,1,0,1,False,False,False,False,False,False,False,False,,,Wardha XI,Buldhana XI,2024-10-01,Ranji Trophy,FirstClass,male,senior,2024-25
77,1,1,12,2,play,10,33,40,Yash Nair,Rohit Kulkarni,right-arm pace,2,4,0,4,False,False,False,False,True,False,False,False,,,Wardha XI,Buldhana XI,2024-10-01,Ranji Trophy,FirstClass,male,senior,2024-25
78,1,1,12,3,play,10,33,40,Yash Nair,Rohit Kulkarni,right-arm pace,2,4,0,4,False,False,False,False,True,False,False,False,,,Wardha XI,Buldhana XI,2024-10-01,Ranji Trophy,FirstClass,male,senior,2024-25
79,1,1,12,4,play,10,33,40,Yash Nair,Rohit Kulkarni,right-arm pace,2,4,0,4,False,False,False,False,True,False,False,False,,,Wardha XI,Buldhana XI,2024-10-01,Ranji Trophy,FirstClass,male,senior,2024-25
80,1,1,12,5,play,10,33,40,Yash Nair,Rohit Kulkarni,right-arm pace,2,1,0,1,False,False,False,False,False,False,False,False,,,Wardha XI,Buldhana XI,2024-10-01,Ranji Trophy,FirstClass,male,senior,2024-25
81,1,1,12,6,play,33,10,40,Kunal Bhatt,Rohit Kulkarni,right-arm pace,2,0,0,0,False,False,False,False,False,False,False,True,caught,Atharva Nair,Wardha XI,Buldhana XI,2024-10-01,Ranji Trophy,FirstClass,male,senior,2024-25
82,1,1,13,1,play,10,26,1,Yash Nair,Rushikesh Sarwate,left-arm pace,3,1,0,1,False,False,False,False,False,False,False,False,,,Wardha XI,Buldhana XI,2024-10-01,Ranji Trophy,FirstClass,male,senior,2024-25
83,1,1,13,2,play,26,10,1,Suraj Wakhare,Rushikesh Sarwate,left-arm pace,3,0,0,0,False,False,False,False,False,False,True,False,,,Wardha XI,Buldhana XI,2024-10-01,Ranji Trophy,FirstClass,male,senior,2024-25
84,1,1,13,3,play,26,10,1,Suraj Wakhare,Rushikesh Sarwate,left-arm pace,3,6,0,6,False,False,False,False,False,True,False,False,,,Wardha XI,Buldhana XI,2024-10-01,Ranji Trophy,FirstClass,male,senior,2024-25
85,1,1,13,4,play,26,10,1,Suraj Wakhare,Rushikesh Sarwate,left-arm pace,3,1,0,1,False,False,False,False,False,False,False,False,,,Wardha XI,Buldhana XI,2024-10-01,Ranji Trophy,FirstClass,male,senior,2024-25
86,1,1,13,5,play,10,26,1,Yash Nair,Rushikesh Sarwate,left-arm pace,3,4,0,4,False,False,False,False,True,False,False,False,,,Wardha XI,Buldhana XI,2024-10-01,Ranji Trophy,FirstClass,male,senior,2024-25
87,1,1,13,6,play,10,26,1,Yash Nair,Rushikesh Sarwate,left-arm pace,3,6,0,6,False,False,False,False,False,True,False,False,,,Wardha XI,Buldhana XI,2024-10-01,Ranji Trophy,FirstClass,male,senior,2024-25
88,1,1,14,1,play,26,10,35,Suraj Wakhare,Atharva Nair,right-arm medium pace,3,1,0,1,False,False,False,False,False,False,False,False,,,Wardha XI,Buldhana XI,2024-10-01,Ranji Trophy,FirstClass,male,senior,2024-25
89,1,1,14,2,play,10,26,35,Yash Nair,Atharva Nair,right-arm medium pace,3,0,0,0,False,False,False,False,False,False,True,False,,,Wardha XI,Buldhana XI,2024-10-01,Ranji Trophy,FirstClass,male,senior,2024-25
90,1,1,14,3,play,10,26,35,Yash Nair,Atharva Nair,right-arm medium pace,3,2,0,2,False,False,False,False,False,False,False,False,,,Wardha XI,Buldhana XI,2024-10-01,Ranji Trophy,FirstClass,male,senior,2024-25
91,1,1,14,4,play,10,26,35,Yash Nair,Atharva Nair,right-arm medium pace,3,2,0,2,False,False,False,False,False,False,False,False,,,Wardha XI,Buldhana XI,2024-10-01,Ranji Trophy,FirstClass,male,senior,2024-25
92,1,1,14,5,play,10,26,35,Yash Nair,Atharva Nair,right-arm medium pace,3,0,0,0,False,False,False,False,False,False,True,False,,,Wardha XI,Buldhana XI,2024-10-01,Ranji Trophy,FirstClass,male,senior,2024-25
93,1,1,14,6,play,10,26,35,Yash Nair,Atharva Nair,right-arm medium pace,3,0,0,0,False,False,False,False,False,False,True,False,,,Wardha XI,Buldhana XI,2024-10-01,Ranji Trophy,FirstClass,male,senior,2024-25
94,1,1,15,1,play,26,10,34,Suraj Wakhare,Amit Kolhe,left-arm pace,3,3,0,3,False,False,False,False,False,False,False,False,,,Wardha XI,Buldhana XI,2024-10-01,Ranji Trophy,FirstClass,male,senior,2024-25
95,1,1,15,2,play,10,26,34,Yash Nair,Amit Kolhe,left-arm pace,3,1,0,1,False,False,False,False,False,False,False,False,,,Wardha XI,Buldhana XI,2024-10-01,Ranji Trophy,FirstClass,male,senior,2024-25
96,1,1,15,3,play,26,10,34,Suraj Wakhare,Amit Kolhe,left-arm pace,3,2,0,2,False,False,False,False,False,False,False,False,,,Wardha XI,Buldhana XI,2024-10-01,Ranji Trophy,FirstClass,male,senior,2024-25
97,1,1,15,4,play,26,10,34,Suraj Wakhare,Amit Kolhe,left-arm pace,3,0,0,0,False,False,False,False,False,False,False,True,caught,Rushikesh Sarwate,Wardha XI,Buldhana XI,2024-10-01,Ranji Trophy,FirstClass,male,senior,2024-25
98,1,1,15,5,play,8,10,34,Arjun Sarwate,Amit Kolhe,left-arm pace,4,0,0,0,False,False,False,False,False,False,True,False,,,Wardha XI,Buldhana XI,2024-10-01,Ranji Trophy,FirstClass,male,senior,2024-25
99,1,1,15,6,play,8,10,34,Arjun Sarwate,Amit Kolhe,left-arm pace,4,0,0,0,False,False,False,False,False,False,True,False,,,Wardha XI,Buldhana XI,2024-10-01,Ranji Trophy,FirstClass,male,senior,2024-25
100,1,1,16,1,play,10,8,1,Yash Nair,Rushikesh Sarwate,left-arm pace,4,0,0,0,False,False,False,False,False,False,True,False,,,Wardha XI,Buldhana XI,2024-10-01,Ranji Trophy,FirstClass,male,senior,2024-25
101,1,1,16,2,play,10,8,1,Yash Nair,Rushikesh Sarwate,left-arm pace,4,0,0,0,False,False,False,False,False,False,True,False,,,Wardha XI,Buldhana XI,2024-10-01,Ranji Trophy,FirstClass,male,senior,2024-25
102,1,1,16,3,play,10,8,1,Yash Nair,Rushikesh Sarwate,left-arm pace,4,0,0,0,False,False,False,False,False,False,True,False,,,Wardha XI,Buldhana XI,2024-10-01,Ranji Trophy,FirstClass,male,senior,2024-25
103,1,1,16,4,play,10,8,1,Yash Nair,Rushikesh Sarwate,left-arm pace,4,0,0,0,False,False,False,False,False,False,False,True,lbw,,Wardha XI,Buldhana XI,2024-10-01,Ranji Trophy,FirstClass,male,senior,2024-25
104,1,1,16,5,play,19,8,1,Shubham Bhatt,Rushikesh Sarwate,left-arm pace,5,4,0,4,False,False,False,False,True,False,False,False,,,Wardha XI,Buldhana XI,2024-10-01,Ranji Trophy,FirstClass,male,senior,2024-25
105,1,1,16,6,play,19,8,1,Shubham Bhatt,Rushikesh Sarwate,left-arm pace,5,1,0,1,False,False,False,False,False,False,False,False,,,Wardha XI,Buldhana XI,2024-10-01,Ranji Trophy,FirstClass,male,senior,2024-25
106,1,1,17,1,play,19,8,1,Shubham Bhatt,Rushikesh Sarwate,left-arm pace,5,0,0,0,False,False,False,False,False,False,True,False,,,Wardha XI,Buldhana XI,2024-10-01,Ranji Trophy,FirstClass,male,senior,2024-25
107,1,1,17,2,play,19,8,1,Shubham Bhatt,Rushikesh Sarwate,left-arm pace,5,1,0,1,False,False,False,False,False,False,False,False,,,Wardha XI,Buldhana XI,2024-10-01,Ranji Trophy,FirstClass,male,senior,2024-25
108,1,1,17,3,play,8,19,1,Arjun Sarwate,Rushikesh Sarwate,left-arm pace,5,0,0,0,False,False,False,False,False,False,True,False,,,Wardha XI,Buldhana XI,2024-10-01,Ranji Trophy,FirstClass,male,senior,2024-25
109,1,1,17,4,play,8,19,1,Arjun Sarwate,Rushikesh Sarwate,left-arm pace,5,1,0,1,False,False,False,False,False,False,False,False,,,Wardha XI,Buldhana XI,2024-10-01,Ranji Trophy,FirstClass,male,senior,2024-25
110,1,1,17,5,play,19,8,1,Shubham Bhatt,Rushikesh Sarwate,left-arm pace,5,0,0,0,False,False,False,False,False,False,True,False,,,Wardha XI,Buldhana XI,2024-10-01,Ranji Trophy,FirstClass,male,senior,2024-25
111,1,1,17,6,play,19,8,1,Shubham Bhatt,Rushikesh Sarwate,left-arm pace,5,0,0,0,False,False,False,False,False,False,True,False,,,Wardha XI,Buldhana XI,2024-10-01,Ranji Trophy,FirstClass,male,senior,2024-25
112,1,1,18,1,play,8,19,32,Arjun Sarwate,Aniket Sharma,right-arm pace,5,0,0,0,False,False,False,False,False,False,True,False,,,Wardha XI,Buldhana XI,2024-10-01,Ranji Trophy,FirstClass,male,senior,2024-25
113,1,1,18,2,play,8,19,32,Arjun Sarwate,Aniket Sharma,right-arm pace,5,1,0,1,False,False,False,False,False,False,False,False,,,Wardha XI,Buldhana XI,2024-10-01,Ranji Trophy,FirstClass,male,senior,2024-25
114,1,1,18,3,play,19,8,32,Shubham Bhatt,Aniket Sharma,right-arm pace,5,0,0,0,False,False,False,False,False,False,True,False,,,Wardha XI,Buldhana XI,2024-10-01,Ranji Trophy,FirstClass,male,senior,2024-25
115,1,1,18,4,play,19,8,32,Shubham Bhatt,Aniket Sharma,right-arm pace,5,4,0,4,False,False,False,False,True,False,False,False,,,Wardha XI,Buldhana XI,2024-10-01,Ranji Trophy,FirstClass,male,senior,2024-25
116,1,1,18,5,play,19,8,32,Shubham Bhatt,Aniket Sharma,right-arm pace,5,0,0,0,False,False,False,False,False,False,False,True,caught,Rushikesh Sarwate,Wardha XI,Buldhana XI,2024-10-01,Ranji Trophy,FirstClass,male,senior,2024-25
